id,character,source,translatedstr
workchr_0105_A_01_00_001(0),Ｐ,ええと、遺跡調査のＴＶ番組に雪歩が選ばれた、と,
workchr_0105_A_01_00_002(0),雪歩,"遺跡調査、ですか？
あの、どうして私なんでしょうか？",
workchr_0105_A_01_00_003(0),Ｐ,"資料によると……『穴掘りが得意な
萩原雪歩さんにぜひ！』と書いてあるな",
workchr_0105_A_01_00_004(0),雪歩,"あ、穴掘りが得意って……。それじゃあ
別に私じゃなくてもいいじゃないですか～！",
workchr_0105_A_01_00_005(0),Ｐ,"まぁまぁ。この番組に出演できて活躍できれば
もっと知名度が上がると思うぞ",
workchr_0105_A_01_00_006(0),雪歩,"うう……分かりました～。やるからには全力で、
日本の反対側まで掘り抜く覚悟で頑張りますぅ",
workchr_0105_A_01_00_007(0),現地調査員,"それでは、４つのポイントからどれか１つを
選んで発掘をしてみてください",
workchr_0105_A_01_00_008(0),雪歩,"えっと……東西南北に分かれているんですね。
……東は、つい最近出土品が見つかったみたいですね",
workchr_0105_A_01_00_009(0),雪歩,"西は、え？　ゆ、ＵＦＯの目撃情報があるって……。
うぅ……。南は、特に何もないみたいです",
workchr_0105_A_01_00_010(0),雪歩,"北は、ど、動物の骨がたくさん見つかったって……！
な、何かありそうで怖いですぅ",
workchr_0105_A_01_00_011(0),雪歩,あ、あの、プロデューサーが決めてくれませんか？,
workchr_0105_A_01_00_012(0),Ｐ,"え、俺が決めていいのか？
じゃあ、えーっと……",
workchr_0105_A_01_00_013(0),選択肢,西をとにかく掘る,
workchr_0105_A_01_00_014(0),選択肢,北をとにかく掘る,
workchr_0105_A_01_00_015(0),選択肢,東をとにかく掘る,
workchr_0105_A_01_00_016(0),選択肢,南をとにかく掘る,
workchr_0105_A_01_00_017(0),Ｐ,そうだな、西のポイントを掘ってみようか,
workchr_0105_A_01_00_018(0),雪歩,"西、ですか？　ＵＦＯが目撃されたって言ってました
けど、本当に大丈夫なんでしょうか",
workchr_0105_A_01_00_019(0),雪歩,"うんしょ……、うんしょ……あ、あれ？
プロデューサー、何か出てきましたよ～！",
workchr_0105_A_01_00_020(0),Ｐ,"ほ、本当か！　……なんとなく茶器のような
そうでないような。とにかく調査員に見せてみよう！",
workchr_0105_A_01_00_021(0),Ｐ,"（その後、雪歩が掘り当てた物が非常に歴史的価値が
あるものだったことが判明し、大騒ぎに……）",
